run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
2,E,20260918,61,0,warmup,61,pair_split_line,16384,65536,543,1039948578144383492,180876,19,19,16556409458040221058,16556409458040221058
2,E,20260918,62,0,warmup,62,stride_1_bis,8388608,65536,370265,6064385405984588702,147408,19,19,16902165159489441331,16902165159489441331
2,E,20260918,63,0,warmup,63,stride_1_bis,4096,65536,280,13741164707110163478,137004,19,19,12038877257683673088,12038877257683673088
2,E,20260918,64,0,warmup,64,stride_1,262144,65536,30793,13964223167343041640,138926,19,19,1356218951846577520,1356218951846577520
2,E,20260918,65,0,warmup,65,pair_same_line,1048576,65536,9712,18363243642706472312,257648,19,19,15716860991176181033,15716860991176181033
2,E,20260918,66,0,warmup,66,stride_4097,393216,65536,9526,11536363835396421947,144981,19,19,11459865289926139635,11459865289926139635
2,E,20260918,67,0,warmup,67,stride_17,12288,65536,668,12879461081735045096,138985,19,19,16395630383476321520,16395630383476321520
2,E,20260918,68,0,warmup,68,stride_513,8192,65536,351,14792686133974387226,138910,19,19,17301109628318919744,17301109628318919744
2,E,20260918,69,0,warmup,69,stride_513,262144,65536,597,15482701582729818046,142840,19,19,1356218951846577520,1356218951846577520
2,E,20260918,70,0,warmup,70,stride_17,262144,65536,690,2195639984115507237,143438,19,19,1356218951846577520,1356218951846577520
2,E,20260918,71,0,warmup,71,stride_1_bis,65536,65536,7693,14854586358751940540,138959,19,19,7944021436974161624,7944021436974161624
2,E,20260918,72,0,warmup,72,stride_1,393216,65536,46747,4893600445150874781,143539,19,19,3328643593742463590,3328643593742463590
2,E,20260918,73,0,warmup,73,pair_same_line,32768,65536,3003,13364401349403612588,173037,19,19,7038008125997727935,7038008125997727935
2,E,20260918,74,0,warmup,74,pair_split_line,4096,65536,83,8704008314410723850,179545,19,19,7379539002004975730,7379539002004975730
2,E,20260918,75,0,warmup,75,pair_split_line,49152,65536,3226,7857424446498868476,193460,19,19,10761218383328535214,10761218383328535214
2,E,20260918,76,0,warmup,76,stride_1_double,65536,131072,4926,941237980448293636,277877,19,19,15888042873948323248,15888042873948323248
2,E,20260918,77,0,warmup,77,stride_1_bis,12582912,65536,21354,10138802076533604106,142543,19,19,4689080000266537189,4689080000266537189
2,E,20260918,78,0,warmup,78,pair_split_line,8388608,65536,471705,16193573043105211881,1410754,19,19,12541177619273355678,12541177619273355678
2,E,20260918,79,0,warmup,79,stride_17,1572864,65536,122499,15132249615559433746,201786,19,19,8209938735828794199,8209938735828794199
2,E,20260918,80,0,warmup,80,stride_513,393216,65536,18371,8144977325326545736,144371,19,19,13573987966763669504,13573987966763669504
2,E,20260918,81,0,warmup,81,stride_1,4194304,65536,102629,14338438869205483889,139671,19,19,5571517976052026813,5571517976052026813
2,E,20260918,82,0,warmup,82,stride_1_bis,2097152,65536,78416,15664302229700088053,144509,19,19,10056197866925026425,10056197866925026425
2,E,20260918,83,0,warmup,83,pair_same_line,16384,65536,1048,2178069552865497423,173730,19,19,17877227721576909710,17877227721576909710
2,E,20260918,84,0,warmup,84,pair_split_line,65536,65536,3019,14533288296449612464,201668,19,19,10873363730686618704,10873363730686618704
2,E,20260918,85,0,warmup,85,stride_1_double,16777216,131072,554368,2504523095650903913,316986,19,19,5335336397730128567,5335336397730128567
2,E,20260918,86,0,warmup,86,pair_same_line,16777216,65536,76997,5772683120834846151,1485046,19,19,9487043069430951408,9487043069430951408
2,E,20260918,87,0,warmup,87,stride_1,16384,65536,913,10182892457424653872,146261,19,19,596753317960570688,596753317960570688
