build,kernel,dataset,processes,median_ns_per_element,ci95_low,ci95_high
clang-O3-v3,sum_if,p100,2,0.1464,0.1463,0.1464
clang-O3-v3,sum_if,p250,2,0.1468,0.1463,0.1473
clang-O3-v3,sum_if,p500,2,0.1641,0.1465,0.1817
clang-O3-v3,sum_if,p750,2,0.1459,0.1458,0.1459
clang-O3-v3,sum_if,p900,2,0.1461,0.1456,0.1465
clang-O3-v3,sum_if,p1000,2,0.1485,0.1463,0.1507
clang-O3-v3,sum_if,p500_sorted,2,0.1475,0.1456,0.1494
clang-O3-v3,sum_if,p500_alternating,2,0.1465,0.1459,0.1470
clang-O3-v3,filter_copy,p000,2,0.2533,0.2524,0.2542
clang-O3-v3,filter_copy,p100,2,1.4267,1.4262,1.4272
clang-O3-v3,filter_copy,p250,2,2.9322,2.9231,2.9412
clang-O3-v3,filter_copy,p500,2,5.1836,5.1732,5.1940
clang-O3-v3,filter_copy,p750,2,3.0362,3.0083,3.0641
clang-O3-v3,filter_copy,p900,2,1.5470,1.5454,1.5486
clang-O3-v3,filter_copy,p1000,2,0.3975,0.3730,0.4220
clang-O3-v3,filter_copy,p500_sorted,2,0.3036,0.3002,0.3070
clang-O3-v3,filter_copy,p500_alternating,2,0.3059,0.3053,0.3065
clang-O3-v3,filter_copy_mask,p000,2,0.4137,0.4130,0.4143
clang-O3-v3,filter_copy_mask,p100,2,0.4218,0.4203,0.4233
clang-O3-v3,filter_copy_mask,p250,2,0.4304,0.4226,0.4381
clang-O3-v3,filter_copy_mask,p500,2,0.4235,0.4227,0.4242
clang-O3-v3,filter_copy_mask,p750,2,0.4234,0.4188,0.4280
clang-O3-v3,filter_copy_mask,p900,2,0.4304,0.4187,0.4420
clang-O3-v3,filter_copy_mask,p1000,2,0.4398,0.4219,0.4577
clang-O3-v3,filter_copy_mask,p500_sorted,2,0.4147,0.4105,0.4190
clang-O3-v3,filter_copy_mask,p500_alternating,2,0.4150,0.4136,0.4163
