run_id,build,seed,sample,round,phase,position,part,label,dataset,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected,output_ok
10,gcc-O3-v3,20260917,59,1,measure,6,small,sum_one,uniform,64,4096,37958,11,11,17538917866300145664,17538917866300145664,1
10,gcc-O3-v3,20260917,60,1,measure,7,branch,sum_if,p500_sorted,65536,1,13025,11,11,2213941836433581612,2213941836433581612,1
10,gcc-O3-v3,20260917,61,1,measure,8,small,sum_one,uniform,6,43690,122719,11,11,14083742298188217910,14083742298188217910,1
10,gcc-O3-v3,20260917,62,1,measure,9,branch,sum_if,p000,65536,1,13166,11,11,0,0,1
10,gcc-O3-v3,20260917,63,1,measure,10,branch,sum_if,p500,65536,1,12965,11,11,261284744287062128,261284744287062128,1
10,gcc-O3-v3,20260917,64,1,measure,11,small,sum_one,uniform,768,341,29091,11,11,5391706269164818059,5391706269164818059,1
10,gcc-O3-v3,20260917,65,1,measure,12,branch,filter_copy,p900,65536,1,144570,11,11,58982,58982,1
10,gcc-O3-v3,20260917,66,1,measure,13,branch,filter_copy_mask,p250,65536,1,27789,11,11,16384,16384,1
10,gcc-O3-v3,20260917,67,1,measure,14,branch,filter_copy,p250,65536,1,281201,11,11,16384,16384,1
10,gcc-O3-v3,20260917,68,1,measure,15,dependency,sum_one,uniform,65536,16,126968,11,11,14132741898501648928,14132741898501648928,1
10,gcc-O3-v3,20260917,69,1,measure,16,branch,sum_if,p750,65536,1,13093,11,11,14586442889165806448,14586442889165806448,1
10,gcc-O3-v3,20260917,70,1,measure,17,small,sum_one,uniform,8,32768,92006,11,11,12154410840689049600,12154410840689049600,1
10,gcc-O3-v3,20260917,71,1,measure,18,branch,filter_copy,p500,65536,1,368682,11,11,32768,32768,1
10,gcc-O3-v3,20260917,72,1,measure,19,branch,filter_copy_mask,p100,65536,1,29169,11,11,6554,6554,1
10,gcc-O3-v3,20260917,73,1,measure,20,branch,sum_if,p500_alternating,65536,1,15637,11,11,4196774058536912234,4196774058536912234,1
10,gcc-O3-v3,20260917,74,1,measure,21,dependency,sum_twice,uniform,65536,16,250151,11,11,9818739723293746240,9818739723293746240,1
10,gcc-O3-v3,20260917,75,1,measure,22,branch,filter_copy_mask,p500_alternating,65536,1,27988,11,11,32768,32768,1
10,gcc-O3-v3,20260917,76,1,measure,23,branch,filter_copy_mask,p900,65536,1,28456,11,11,58982,58982,1
10,gcc-O3-v3,20260917,77,1,measure,24,branch,filter_copy,p1000,65536,1,32069,11,11,65536,65536,1
