protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,59,19,measure,2,A,20000,1,200531,21,21,14724626967251922825
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,60,20,measure,0,B,20000,2,401146,21,21,10388850051273322397
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,61,20,measure,1,A,20000,1,207620,21,21,6705652779515789227
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,62,20,measure,2,A_bis,20000,1,200531,21,21,1651399004584129295
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,63,21,measure,0,B,20000,2,401142,21,21,16454060476980947680
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,64,21,measure,1,A,20000,1,200524,21,21,6267077640027030279
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,65,21,measure,2,A_bis,20000,1,211080,21,21,13469507151750460386
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,66,22,measure,0,A_bis,20000,1,200706,21,21,12917301493195913286
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,67,22,measure,1,A,20000,1,200684,21,21,6222987887786077846
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,68,22,measure,2,B,20000,2,401150,21,21,7499308817629293338
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,69,23,measure,0,A_bis,20000,1,210623,21,21,6095789886395489225
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,70,23,measure,1,A,20000,1,200532,21,21,15175885523281792101
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,71,23,measure,2,B,20000,2,401155,21,21,5018369602793462853
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,72,24,measure,0,A,20000,1,200534,21,21,3280026168175357652
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,73,24,measure,1,B,20000,2,409605,21,21,17957039904020683836
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,74,24,measure,2,A_bis,20000,1,200531,21,21,13974823622274522276
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,75,25,measure,0,B,20000,2,401034,21,21,3708342750377212350
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,76,25,measure,1,A_bis,20000,1,206140,21,21,5363619703275006279
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,77,25,measure,2,A,20000,1,200555,21,21,7556088653871681566
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,78,26,measure,0,A_bis,20000,1,200532,21,21,10598622824101005949
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,79,26,measure,1,B,20000,2,410021,21,21,18128846370153645456
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,80,26,measure,2,A,20000,1,200531,21,21,15502522654266178305
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,81,27,measure,0,A_bis,20000,1,200535,21,21,16137567686756266096
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,82,27,measure,1,A,20000,1,200603,21,21,14615031136140648691
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,83,27,measure,2,B,20000,2,406173,21,21,10318986606557123700
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,84,28,measure,0,A,20000,1,200532,21,21,14917156173965335353
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,85,28,measure,1,B,20000,2,401139,21,21,11062363742835990867
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,86,28,measure,2,A_bis,20000,1,200536,21,21,3225078365797965572
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,87,29,measure,0,A_bis,20000,1,207502,21,21,13551323627289954290
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,88,29,measure,1,B,20000,2,401029,21,21,13900473742099549400
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,89,29,measure,2,A,20000,1,200536,21,21,18359602567495947210
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,90,30,measure,0,A_bis,20000,1,200512,21,21,6647921416412656111
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,91,30,measure,1,A,20000,1,206693,21,21,7919942229921906810
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,92,30,measure,2,B,20000,2,401049,21,21,2400259104404820991
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,93,31,measure,0,A,20000,1,200514,21,21,8766769290015302704
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,94,31,measure,1,B,20000,2,407177,21,21,14220465133323368253
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,95,31,measure,2,A_bis,20000,1,200525,21,21,16713691519943689434
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,96,32,measure,0,A,20000,1,200514,21,21,18404040113606704154
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,97,32,measure,1,A_bis,20000,1,200535,21,21,7767592355841134235
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,98,32,measure,2,B,20000,2,406158,21,21,3388433271521722501
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,99,33,measure,0,B,20000,2,401038,21,21,4755427599465433938
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,100,33,measure,1,A_bis,20000,1,200526,21,21,4069524598321028717
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,101,33,measure,2,A,20000,1,200512,21,21,12550877230345118062
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,102,34,measure,0,A_bis,20000,1,205645,21,21,7482515429229205089
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,103,34,measure,1,A,20000,1,200539,21,21,7522877342722866098
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,104,34,measure,2,B,20000,2,401017,21,21,5399400024629272403
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,105,35,measure,0,A_bis,20000,1,200540,21,21,3064104312954075272
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,106,35,measure,1,A,20000,1,207122,21,21,15382633868886943679
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,107,35,measure,2,B,20000,2,401019,21,21,16650060841576376931
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,108,36,measure,0,A,20000,1,200541,21,21,522831117695954378
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,109,36,measure,1,A_bis,20000,1,200520,21,21,8549449046925130035
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,110,36,measure,2,B,20000,2,409080,21,21,10519656917123259230
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,111,37,measure,0,A,20000,1,200541,21,21,2542837070138676041
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,112,37,measure,1,B,20000,2,401020,21,21,16870757571522150623
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,113,37,measure,2,A_bis,20000,1,207968,21,21,7690916708388588812
