compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
clang,O3,sum_discarded,4096,15,1024,0.000403,0.000403,0.000404,0.000403,0.000404,0.0027,1.652,2478903073286
clang,O3,sum_discarded,16384,15,256,0.000109,0.000109,0.000110,0.000109,0.000110,0.0120,1.793,9137917211329
clang,O3,sum_discarded,65536,15,64,0.000036,0.000035,0.000036,0.000035,0.000036,0.0268,2.328,28149691275168
clang,O3,sum_discarded,262144,15,16,0.000017,0.000017,0.000017,0.000017,0.000017,0.0352,4.438,59074704225352
clang,O3,sum_discarded,1048576,15,4,0.000011,0.000011,0.000012,0.000011,0.000012,0.0521,12.000,87381333333333
clang,O3,sum_discarded,4194304,15,1,0.000010,0.000010,0.000010,0.000010,0.000011,0.1220,41.000,102300097560976
clang,O3,sum_indices,64,15,65536,0.025064,0.025064,0.025066,0.025064,0.025066,0.0001,1.604,39897115897
clang,O3,sum_indices,256,15,16384,0.006276,0.006275,0.006277,0.006275,0.006277,0.0002,1.607,159339892869
clang,O3,sum_indices,1024,15,4096,0.001578,0.001577,0.001579,0.001577,0.001580,0.0014,1.616,633676386161
clang,O3,sum_indices,4096,15,1024,0.000403,0.000402,0.000403,0.000402,0.000403,0.0015,1.649,2483306098283
clang,O3,sum_indices,16384,15,256,0.000109,0.000108,0.000110,0.000108,0.000109,0.0109,1.785,9177908096280
clang,O3,sum_indices,65536,15,64,0.000035,0.000035,0.000036,0.000035,0.000036,0.0408,2.297,28532680272109
clang,O3,sum_indices,262144,15,16,0.000017,0.000016,0.000018,0.000017,0.000018,0.0714,4.375,59918628571429
clang,O3,sum_indices,1048576,15,4,0.000012,0.000012,0.000012,0.000012,0.000013,0.0700,12.500,83886080000000
clang,O3,sum_indices,4194304,15,1,0.000011,0.000010,0.000011,0.000010,0.000011,0.1000,45.000,93206755555556
gcc,O0,sum_array,64,15,65536,1.979510,1.970609,1.981217,1.972550,1.980749,0.0041,126.689,505175566
gcc,O0,sum_array,256,15,16384,2.426810,2.402740,2.457238,2.402851,2.462313,0.0245,621.263,412063609
gcc,O0,sum_array,1024,15,4096,2.580825,2.573590,2.635812,2.574863,2.635837,0.0236,2642.765,387472949
gcc,O0,sum_array,4096,15,1024,2.675866,2.661687,2.692489,2.662064,2.712265,0.0188,10960.346,373710840
gcc,O0,sum_array,16384,15,256,3.035365,3.030385,3.049548,3.031757,3.052731,0.0069,49731.422,329449659
gcc,O0,sum_array,65536,15,64,3.055287,3.043300,3.066061,3.042602,3.077294,0.0114,200231.266,327301532
gcc,O0,sum_array,262144,15,16,3.052759,3.040453,3.075818,3.043746,3.070614,0.0088,800262.438,327572541
gcc,O0,sum_array,1048576,15,4,2.995455,2.971133,3.020843,2.968660,3.027467,0.0196,3140962.000,333839123
gcc,O0,sum_array,4194304,15,1,3.230211,3.189398,3.236896,3.188106,3.241273,0.0165,13548487.000,309577298
gcc,O0,sum_array_bis,64,15,65536,1.980240,1.969879,1.982556,1.967270,1.985933,0.0094,126.735,504989206
gcc,O0,sum_array_bis,256,15,16384,2.435587,2.399123,2.463233,2.398370,2.466732,0.0281,623.510,410578693
gcc,O0,sum_array_bis,1024,15,4096,2.597081,2.575387,2.638440,2.579757,2.638653,0.0227,2659.411,385047718
gcc,O0,sum_array_bis,4096,15,1024,2.660019,2.654464,2.673702,2.655376,2.701470,0.0173,10895.438,375937142
gcc,O0,sum_array_bis,16384,15,256,3.033636,3.027743,3.046339,3.029217,3.048252,0.0063,49703.090,329637454
gcc,O0,sum_array_bis,65536,15,64,3.062230,3.044908,3.089651,3.047315,3.095133,0.0156,200686.312,326559391
gcc,O0,sum_array_bis,262144,15,16,3.047061,3.034981,3.058534,3.039224,3.056323,0.0056,798768.688,328185123
gcc,O0,sum_array_bis,1048576,15,4,2.996608,2.961219,3.016162,2.951542,3.020980,0.0232,3142171.250,333710647
gcc,O0,sum_array_bis,4194304,15,1,3.182820,3.162958,3.213693,3.167347,3.219697,0.0164,13349716.000,314186759
gcc,O0,sum_array_twice,64,15,65536,4.607933,4.510423,4.634050,4.506965,4.634806,0.0277,294.908,217017065
gcc,O0,sum_array_twice,256,15,16384,5.075234,5.064732,5.207055,5.056817,5.155452,0.0194,1299.260,197035234
gcc,O0,sum_array_twice,1024,15,4096,5.307680,5.296643,5.334633,5.298507,5.347299,0.0092,5435.065,188406221
gcc,O0,sum_array_twice,4096,15,1024,5.497244,5.472390,5.524932,5.468731,5.557617,0.0162,22516.712,181909331
gcc,O0,sum_array_twice,16384,15,256,6.088169,6.077448,6.106166,6.077989,6.121373,0.0071,99748.566,164252987
gcc,O0,sum_array_twice,65536,15,64,6.112761,6.080522,6.134460,6.081339,6.135177,0.0088,400605.922,163592190
gcc,O0,sum_array_twice,262144,15,16,6.100341,6.080763,6.104806,6.081720,6.114932,0.0054,1599167.750,163925267
gcc,O0,sum_array_twice,1048576,15,4,5.985211,5.943504,6.012540,5.952113,6.016012,0.0107,6275949.000,167078477
gcc,O0,sum_array_twice,4194304,15,1,6.402316,6.344316,6.449714,6.350798,6.448478,0.0153,26853261.000,156193469
gcc,O0,sum_discarded,64,15,65536,1.969335,1.958483,1.974684,1.956679,1.978923,0.0113,126.037,507785664
gcc,O0,sum_discarded,256,15,16384,2.394446,2.379760,2.405227,2.377768,2.409844,0.0134,612.978,417633116
gcc,O0,sum_discarded,1024,15,4096,2.568816,2.554210,2.607172,2.556603,2.616296,0.0232,2630.468,389284410
gcc,O0,sum_discarded,4096,15,1024,2.663589,2.650275,2.678369,2.650543,2.678428,0.0105,10910.062,375433263
gcc,O0,sum_discarded,16384,15,256,3.040834,3.034957,3.048815,3.035514,3.082918,0.0156,49821.031,328857103
gcc,O0,sum_discarded,65536,15,64,3.058515,3.041694,3.081711,3.043694,3.074039,0.0099,200442.812,326956099
gcc,O0,sum_discarded,262144,15,16,3.049168,3.037328,3.053635,3.039162,3.072451,0.0109,799321.062,327958329
gcc,O0,sum_discarded,1048576,15,4,2.984527,2.938994,3.010196,2.950507,3.035068,0.0283,3129503.000,335061510
gcc,O0,sum_discarded,4194304,15,1,3.207431,3.169838,3.244780,3.180203,3.245183,0.0203,13452939.000,311776036
gcc,O0,sum_indices,64,15,65536,2.584466,2.573936,2.609882,2.572257,2.613210,0.0158,165.406,386927128
gcc,O0,sum_indices,256,15,16384,2.606636,2.597791,2.619606,2.596971,2.622432,0.0098,667.299,383636290
gcc,O0,sum_indices,1024,15,4096,2.811373,2.803309,2.821215,2.802486,2.821480,0.0068,2878.846,355698088
gcc,O0,sum_indices,4096,15,1024,2.899661,2.893917,2.910178,2.894105,2.910445,0.0056,11877.013,344867864
gcc,O0,sum_indices,16384,15,256,2.967094,2.962447,2.976759,2.962835,2.976936,0.0048,48612.875,337030056
gcc,O0,sum_indices,65536,15,64,3.023775,3.007939,3.026096,3.007570,3.028128,0.0068,198166.094,330712478
gcc,O0,sum_indices,262144,15,16,3.048158,3.034491,3.057697,3.034679,3.058963,0.0080,799056.375,328066965
gcc,O0,sum_indices,1048576,15,4,3.071038,3.055966,3.077897,3.056151,3.079920,0.0077,3220216.750,325622802
gcc,O0,sum_indices,4194304,15,1,3.073990,3.061071,3.077526,3.059889,3.076182,0.0053,12893247.000,325310141
gcc,O1,sum_array,64,15,65536,0.604980,0.601474,0.606957,0.601226,0.606929,0.0094,38.719,1652945924
gcc,O1,sum_array,256,15,16384,0.413767,0.412803,0.414291,0.412097,0.414320,0.0054,105.924,2416817155
gcc,O1,sum_array,1024,15,4096,0.414169,0.413018,0.414759,0.411994,0.414765,0.0067,424.109,2414472893
gcc,O1,sum_array,4096,15,1024,0.413682,0.413068,0.414144,0.412952,0.414098,0.0028,1694.443,2417313023
gcc,O1,sum_array,16384,15,256,0.414281,0.414066,0.414946,0.413972,0.415074,0.0027,6787.586,2413818425
gcc,O1,sum_array,65536,15,64,0.416958,0.415160,0.419425,0.415190,0.419175,0.0096,27325.766,2398322554
gcc,O1,sum_array,262144,15,16,0.453607,0.442095,0.480882,0.443721,0.478599,0.0769,118910.250,2204553434
gcc,O1,sum_array,1048576,15,4,0.779728,0.709175,0.934103,0.717641,0.926354,0.2677,817604.250,1282498226
gcc,O1,sum_array,4194304,15,1,0.768877,0.743713,0.820863,0.747290,0.824273,0.1001,3224905.000,1300597692
gcc,O1,sum_array_bis,64,15,65536,0.599017,0.595266,0.606246,0.594982,0.604648,0.0161,38.337,1669400639
gcc,O1,sum_array_bis,256,15,16384,0.413658,0.413357,0.414176,0.413309,0.414139,0.0020,105.896,2417456529
gcc,O1,sum_array_bis,1024,15,4096,0.414057,0.411652,0.414406,0.412599,0.414482,0.0045,423.994,2415126324
gcc,O1,sum_array_bis,4096,15,1024,0.413441,0.412794,0.414045,0.413064,0.413933,0.0021,1693.455,2418723740
gcc,O1,sum_array_bis,16384,15,256,0.414545,0.413623,0.414694,0.413686,0.414710,0.0025,6791.898,2412285777
gcc,O1,sum_array_bis,65536,15,64,0.416148,0.415069,0.420730,0.415253,0.419950,0.0113,27272.672,2402991548
gcc,O1,sum_array_bis,262144,15,16,0.454637,0.452439,0.484957,0.447314,0.473905,0.0585,119180.312,2199557918
gcc,O1,sum_array_bis,1048576,15,4,0.762373,0.723485,0.920651,0.724745,0.912874,0.2468,799406.250,1311693523
gcc,O1,sum_array_bis,4194304,15,1,0.779483,0.776896,0.806041,0.763233,0.800829,0.0482,3269387.000,1282902269
gcc,O1,sum_array_twice,64,15,65536,1.119942,1.102975,1.121700,1.105389,1.122967,0.0157,71.676,892903613
gcc,O1,sum_array_twice,256,15,16384,0.838326,0.828601,0.839456,0.832428,0.839472,0.0084,214.611,1192853748
gcc,O1,sum_array_twice,1024,15,4096,0.833902,0.832138,0.834260,0.832564,0.834317,0.0021,853.915,1199182191
gcc,O1,sum_array_twice,4096,15,1024,0.833231,0.832752,0.833767,0.832735,0.833731,0.0012,3412.913,1200147761
gcc,O1,sum_array_twice,16384,15,256,0.833525,0.832113,0.834637,0.832434,0.834598,0.0026,13656.469,1199724490
gcc,O1,sum_array_twice,65536,15,64,0.835612,0.834807,0.840101,0.834382,0.838828,0.0053,54762.641,1196728267
