compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
gcc,O3,sum_discarded,256,2,4096,0.006328,0.006313,0.006342,0.006320,0.006335,0.0023,1.620,158037076112
gcc,O3,sum_discarded,1024,2,1024,0.001617,0.001617,0.001617,0.001617,0.001617,0.0001,1.656,618355300015
gcc,O3,sum_discarded,4096,2,256,0.000441,0.000429,0.000452,0.000435,0.000446,0.0260,1.805,2269645021645
gcc,O3,sum_discarded,16384,2,64,0.000139,0.000120,0.000157,0.000129,0.000148,0.1325,2.270,7219111876076
gcc,O3,sum_discarded,65536,2,16,0.000068,0.000067,0.000069,0.000068,0.000069,0.0140,4.469,14665398601399
gcc,O3,sum_discarded,262144,2,4,0.000051,0.000051,0.000052,0.000051,0.000052,0.0185,13.500,19418074074074
gcc,O3,sum_discarded,1048576,2,1,0.000042,0.000042,0.000043,0.000042,0.000043,0.0112,44.500,23563505617978
gcc,O3,sum_discarded,4194304,2,1,0.000010,0.000008,0.000011,0.000009,0.000011,0.1852,40.500,103563061728395
gcc,O3,sum_indices,64,2,16384,0.240131,0.239068,0.241193,0.239599,0.240662,0.0044,15.368,4164399448
gcc,O3,sum_indices,256,2,4096,0.291808,0.291467,0.292149,0.291638,0.291978,0.0012,74.703,3426912138
gcc,O3,sum_indices,1024,2,1024,0.369570,0.368663,0.370478,0.369117,0.370024,0.0025,378.440,2705843721
gcc,O3,sum_indices,4096,2,256,0.390750,0.389700,0.391800,0.390225,0.391275,0.0027,1600.514,2559178389
gcc,O3,sum_indices,16384,2,64,0.399958,0.398615,0.401301,0.399287,0.400630,0.0034,6552.918,2500260201
gcc,O3,sum_indices,65536,2,16,0.401334,0.400026,0.402641,0.400680,0.401987,0.0033,26301.797,2491692880
gcc,O3,sum_indices,262144,2,4,0.404948,0.404251,0.405645,0.404599,0.405296,0.0017,106154.625,2469454345
gcc,O3,sum_indices,1048576,2,1,0.402822,0.402750,0.402894,0.402786,0.402858,0.0002,422389.000,2482488891
gcc,O3,sum_indices,4194304,2,1,0.406027,0.403354,0.408699,0.404691,0.407363,0.0066,1703000.000,2462891368
