run_id,core,seed,sample,round,phase,position,label,param,ops,units_per_op,elapsed_ns,deferred_ns,result,expected,resident_before,resident_after,file_pages,read_syscalls,write_syscalls,read_bytes,write_bytes,cancelled_write_bytes,device_reads,device_read_sectors,device_writes,device_write_sectors,device_flushes,journal_commits,deferred_device_writes,deferred_device_write_sectors,deferred_device_flushes,deferred_journal_commits,voluntary_switches,involuntary_switches,cpu_before,cpu_after
1,P,20260921,26,1,measure,3,rand_read_cold_bis,0,256,1,14891959,0,256,256,0,256,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
1,P,20260921,27,1,measure,4,rand_read_warm,0,256,1,271286,0,256,256,2048,2048,2048,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,28,1,measure,5,append_fdatasync,1,256,1,1782098055,0,256,256,0,0,2048,2,256,12288,1048576,0,3,24,769,14896,256,256,0,0,0,0,515,0,11,11
1,P,20260921,29,1,measure,6,append_fsync,1,256,1,1814368389,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,771,15008,257,257,0,0,0,0,513,0,11,11
1,P,20260921,30,1,measure,7,append_fsync,256,1,256,8061748,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,14,0,11,11
1,P,20260921,31,1,measure,8,overwrite_fdatasync_double,1,256,2,990415355,0,512,512,0,0,2048,2,512,0,2097152,0,0,0,1027,4200,512,0,0,0,0,0,1023,3,11,11
1,P,20260921,32,1,measure,9,seq_read_warm,0,64,32,1857460,0,2048,2048,2048,2048,2048,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,33,1,measure,10,overwrite_fsync,1,256,1,1801620670,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,915,12944,257,257,0,0,0,0,513,0,11,11
1,P,20260921,34,1,measure,11,rand_read_direct_double,0,256,2,28052621,0,512,512,2048,2048,2048,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
1,P,20260921,35,1,measure,12,seq_read_direct,0,64,32,6554936,0,2048,2048,2048,2048,2048,66,0,8388608,0,0,64,16384,0,0,0,0,0,0,0,0,64,0,11,11
1,P,20260921,36,1,measure,13,seq_read_cold,0,64,32,4040738,0,2048,2048,0,2048,2048,66,0,8388608,0,0,64,16384,0,0,0,0,0,0,0,0,24,0,11,11
1,P,20260921,37,1,measure,14,tmpfs_append_fsync,1,256,1,656053,0,256,256,0,0,2048,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1,P,20260921,38,1,measure,15,overwrite_fdatasync_folio,1,256,1,532953679,0,256,256,0,0,2048,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
1,P,20260921,39,1,measure,16,overwrite_fdatasync,1,256,1,532102408,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,3,11,11
1,P,20260921,40,1,measure,17,overwrite_odsync,1,256,1,519109610,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,516,2504,257,1,0,0,0,0,512,1,11,11
1,P,20260921,41,1,measure,18,append_fsync,64,4,64,28893370,0,256,256,0,0,2048,2,256,4096,1048576,0,1,8,16,2208,4,4,0,0,0,0,9,0,11,11
1,P,20260921,42,1,measure,19,append_fsync,16,16,16,114564389,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,48,2840,16,16,0,0,0,0,35,0,11,11
1,P,20260921,43,1,measure,20,overwrite_fdatasync_bis,1,256,1,522066564,0,256,256,0,0,2048,2,256,0,1048576,0,0,0,775,11352,256,0,0,0,0,0,512,3,11,11
1,P,20260921,44,1,measure,21,append_fsync,4,64,4,428239905,0,256,256,0,0,2048,2,256,4096,1048576,0,1,8,192,5296,64,64,0,0,0,0,129,0,11,11
1,P,20260921,45,1,measure,22,rand_read_cold,0,256,1,15021197,0,256,256,0,256,2048,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
