run_id,build,seed,sample,round,phase,position,workload,variant,elements,passes,elapsed_ns,result,gc_delta,cpu_before,cpu_after
32,c-O2,20260922,27,5,measure,2,dot,control,1048576,1,1577125,410ff74524ad2567,0,11,11
32,c-O2,20260922,28,5,measure,3,count,control,4194304,1,14760826,575011b204ab0ef9,0,11,11
32,c-O2,20260922,29,5,measure,4,hash_chain,control_double,1048576,2,3822214,cafe17741c251268,0,11,11
32,c-O2,20260922,30,6,measure,0,dot,control,1048576,1,1521152,410ff74524ad2567,0,11,11
32,c-O2,20260922,31,6,measure,1,hash_chain,control_double,1048576,2,4166877,cafe17741c251268,0,11,11
32,c-O2,20260922,32,6,measure,2,count,control,4194304,1,14503089,575011b204ab0ef9,0,11,11
32,c-O2,20260922,33,6,measure,3,hash_chain,control,1048576,1,1874169,60edcbcfce416d11,0,11,11
32,c-O2,20260922,34,6,measure,4,hash_chain,control_bis,1048576,1,1957001,60edcbcfce416d11,0,11,11
32,c-O2,20260922,35,7,measure,0,hash_chain,control,1048576,1,1960422,60edcbcfce416d11,0,11,11
32,c-O2,20260922,36,7,measure,1,count,control,4194304,1,14148471,575011b204ab0ef9,0,11,11
32,c-O2,20260922,37,7,measure,2,dot,control,1048576,1,1837085,410ff74524ad2567,0,11,11
32,c-O2,20260922,38,7,measure,3,hash_chain,control_bis,1048576,1,1985005,60edcbcfce416d11,0,11,11
32,c-O2,20260922,39,7,measure,4,hash_chain,control_double,1048576,2,4529710,cafe17741c251268,0,11,11
32,c-O2,20260922,40,8,measure,0,count,control,4194304,1,16132120,575011b204ab0ef9,0,11,11
32,c-O2,20260922,41,8,measure,1,hash_chain,control_double,1048576,2,3962869,cafe17741c251268,0,11,11
32,c-O2,20260922,42,8,measure,2,hash_chain,control_bis,1048576,1,2901123,60edcbcfce416d11,0,11,11
32,c-O2,20260922,43,8,measure,3,hash_chain,control,1048576,1,2100130,60edcbcfce416d11,0,11,11
32,c-O2,20260922,44,8,measure,4,dot,control,1048576,1,2352722,410ff74524ad2567,0,11,11
32,c-O2,20260922,45,9,measure,0,hash_chain,control_double,1048576,2,3988269,cafe17741c251268,0,11,11
32,c-O2,20260922,46,9,measure,1,count,control,4194304,1,16302266,575011b204ab0ef9,0,11,11
32,c-O2,20260922,47,9,measure,2,hash_chain,control_bis,1048576,1,1960544,60edcbcfce416d11,0,11,11
32,c-O2,20260922,48,9,measure,3,dot,control,1048576,1,1531699,410ff74524ad2567,0,11,11
32,c-O2,20260922,49,9,measure,4,hash_chain,control,1048576,1,1811832,60edcbcfce416d11,0,11,11
32,c-O2,20260922,50,10,measure,0,count,control,4194304,1,15940945,575011b204ab0ef9,0,11,11
32,c-O2,20260922,51,10,measure,1,hash_chain,control_double,1048576,2,4347521,cafe17741c251268,0,11,11
32,c-O2,20260922,52,10,measure,2,hash_chain,control,1048576,1,2146458,60edcbcfce416d11,0,11,11
32,c-O2,20260922,53,10,measure,3,hash_chain,control_bis,1048576,1,2000310,60edcbcfce416d11,0,11,11
32,c-O2,20260922,54,10,measure,4,dot,control,1048576,1,2186590,410ff74524ad2567,0,11,11
