repetition,position,label,elapsed_ns,user_us,system_us,max_rss_kib,status
35,2,python,20129252,13882,5949,11124,0
35,3,python-numpy,100725664,78022,21727,29684,0
35,4,c-O3,872768,0,759,1912,0
35,5,rust,843105,793,0,2136,0
36,0,rust,732956,0,687,2200,0
36,1,c-O2,609283,538,0,1912,0
36,2,c-O3,537278,494,0,1912,0
36,3,python-numpy,101152089,83343,16867,29528,0
36,4,python,20003638,16623,3116,11352,0
36,5,go,1612788,0,1492,2132,0
37,0,c-O2,709557,666,0,1912,0
37,1,go,1187257,0,1133,2132,0
37,2,c-O3,651034,0,577,1912,0
37,3,rust,734510,695,0,2152,0
37,4,python-numpy,101175895,80580,19653,29496,0
37,5,python,20156402,16886,2979,11076,0
38,0,c-O2,871513,0,800,1912,0
38,1,c-O3,521161,481,0,1912,0
38,2,go,1410572,658,658,2132,0
38,3,rust,851949,805,0,2152,0
38,4,python,19552138,12558,6762,11272,0
38,5,python-numpy,99739367,74096,24698,29704,0
39,0,rust,1131293,1049,0,2296,0
39,1,c-O3,604771,560,0,1912,0
39,2,go,1404337,0,1322,2132,0
39,3,c-O2,582183,541,0,1912,0
39,4,python,20068698,16814,2967,11368,0
39,5,python-numpy,100724471,84818,14968,29812,0
40,0,python-numpy,100872905,77146,22748,29580,0
40,1,c-O2,916183,0,815,1912,0
40,2,go,1343780,0,1284,2132,0
40,3,c-O3,581482,0,542,1912,0
40,4,python,19885417,10806,8841,11368,0
40,5,rust,1001783,934,0,2152,0
41,0,c-O3,565308,523,0,1912,0
41,1,rust,724863,676,0,2152,0
41,2,c-O2,531343,0,493,1912,0
41,3,python,19238482,13006,6003,11056,0
41,4,go,1472137,0,1392,2132,0
41,5,python-numpy,100277602,81702,17718,29576,0
42,0,c-O3,856284,0,773,1912,0
42,1,go,1639406,0,1548,2132,0
42,2,c-O2,583696,0,545,1912,0
42,3,rust,839522,769,0,2152,0
42,4,python,20085017,16865,2976,11360,0
42,5,python-numpy,100549538,84301,15053,29712,0
43,0,go,1928776,0,1780,2132,0
43,1,c-O2,740685,0,698,1912,0
43,2,python-numpy,99717373,89922,8893,29404,0
43,3,rust,1223010,1113,0,2232,0
43,4,python,19766420,13657,5853,11208,0
43,5,c-O3,989410,0,874,1912,0
44,0,python-numpy,101884955,87026,13845,29540,0
44,1,python,20482846,14083,6035,11124,0
44,2,go,1515020,1419,0,2132,0
44,3,rust,954815,0,909,2144,0
44,4,c-O2,584018,514,0,1912,0
44,5,c-O3,525302,0,489,1912,0
45,0,rust,680178,639,0,2152,0
45,1,c-O3,571719,0,535,1912,0
45,2,go,1313241,0,1226,2132,0
45,3,python,19364147,14340,4780,11120,0
45,4,c-O2,697133,634,0,1912,0
45,5,python-numpy,98927658,78219,19802,29584,0
46,0,c-O2,860212,0,780,1912,0
46,1,rust,844204,0,798,2152,0
46,2,c-O3,549205,0,509,1912,0
46,3,python,19883294,16479,3089,11276,0
46,4,go,1633075,1502,0,2132,0
46,5,python-numpy,100478451,84750,14782,29656,0
47,0,go,1566925,0,1453,2132,0
47,1,rust,978929,934,0,2224,0
47,2,python,19742300,15616,3904,11060,0
47,3,c-O2,853727,765,0,1912,0
47,4,python-numpy,99718757,78905,19976,29680,0
47,5,c-O3,844734,0,767,1912,0
48,0,c-O3,690280,0,623,1912,0
48,1,python-numpy,99908588,87012,12001,29652,0
48,2,c-O2,897093,794,0,1912,0
48,3,python,19665293,16372,3069,11340,0
48,4,rust,1004896,928,0,2152,0
48,5,go,1401635,1313,0,2132,0
49,0,c-O2,693978,0,655,1912,0
49,1,python,19665111,17363,2042,11076,0
49,2,rust,1082559,0,988,2144,0
49,3,go,1601409,775,775,2132,0
49,4,python-numpy,99883286,81989,16997,29676,0
49,5,c-O3,1035841,0,942,1912,0
