core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
LP-E,4k,chase_sequential,262144,8,1.805,1.779,1.915
LP-E,4k,chase_sequential,524288,8,2.035,1.977,2.284
LP-E,4k,chase_sequential,1048576,8,2.465,2.446,2.644
LP-E,4k,chase_sequential,2097152,8,2.729,2.710,3.197
LP-E,4k,chase_sequential,4194304,8,2.723,2.710,2.838
LP-E,4k,chase_sequential,8388608,8,2.805,2.733,3.012
LP-E,4k,chase_sequential,16777216,8,2.980,2.746,3.267
LP-E,4k,chase_sequential,33554432,8,2.794,2.719,3.071
LP-E,4k,chase_sequential,67108864,8,2.774,2.721,2.816
LP-E,4k,chase_sequential,134217728,8,2.750,2.689,2.892
LP-E,4k,chase_sequential,268435456,8,2.826,2.701,3.056
LP-E,4k,independent_random,4096,8,1.764,1.749,1.923
LP-E,4k,independent_random,8192,8,1.752,1.696,1.807
LP-E,4k,independent_random,16384,8,1.763,1.702,1.775
LP-E,4k,independent_random,32768,8,1.785,1.743,1.860
LP-E,4k,independent_random,65536,8,1.805,1.761,1.845
LP-E,4k,independent_random,131072,8,1.848,1.749,1.897
LP-E,4k,independent_random,262144,8,2.003,1.937,2.018
LP-E,4k,independent_random,524288,8,2.237,2.206,2.268
LP-E,4k,independent_random,1048576,8,2.813,2.727,2.909
LP-E,4k,independent_random,2097152,8,15.897,15.145,16.392
LP-E,4k,independent_random,4194304,8,22.191,21.930,22.495
LP-E,4k,independent_random,8388608,8,25.237,24.960,25.635
LP-E,4k,independent_random,16777216,8,29.151,28.963,29.330
LP-E,4k,independent_random,33554432,8,32.288,31.982,32.553
LP-E,4k,independent_random,67108864,8,34.919,34.509,35.286
LP-E,4k,independent_random,134217728,8,38.111,37.824,38.324
LP-E,4k,independent_random,268435456,8,49.480,48.430,50.109
LP-E,4k,independent_random_bis,4096,8,1.737,1.631,1.770
LP-E,4k,independent_random_bis,8192,8,1.764,1.653,1.770
LP-E,4k,independent_random_bis,16384,8,1.733,1.663,1.778
LP-E,4k,independent_random_bis,32768,8,1.780,1.627,1.796
LP-E,4k,independent_random_bis,65536,8,1.794,1.717,1.853
LP-E,4k,independent_random_bis,131072,8,1.893,1.888,1.915
LP-E,4k,independent_random_bis,262144,8,2.017,1.999,2.085
LP-E,4k,independent_random_bis,524288,8,2.186,2.151,2.235
LP-E,4k,independent_random_bis,1048576,8,2.729,2.654,2.825
LP-E,4k,independent_random_bis,2097152,8,16.085,15.373,16.415
LP-E,4k,independent_random_bis,4194304,8,22.175,21.936,22.443
LP-E,4k,independent_random_bis,8388608,8,25.180,24.909,25.583
LP-E,4k,independent_random_bis,16777216,8,29.260,29.167,29.443
LP-E,4k,independent_random_bis,33554432,8,32.172,32.006,32.556
LP-E,4k,independent_random_bis,67108864,8,34.838,34.554,35.021
LP-E,4k,independent_random_bis,134217728,8,38.059,37.523,38.310
LP-E,4k,independent_random_bis,268435456,8,49.060,48.162,49.324
P,2m,chase_random,4096,8,2.781,2.622,2.946
P,2m,chase_random,8192,8,3.232,3.006,4.223
P,2m,chase_random,16384,8,2.945,2.717,3.872
P,2m,chase_random,32768,8,3.191,2.775,3.580
P,2m,chase_random,65536,8,5.077,4.804,7.317
P,2m,chase_random,131072,8,8.116,7.297,8.656
P,2m,chase_random,262144,8,10.511,9.978,12.487
P,2m,chase_random,524288,8,16.753,15.836,17.836
P,2m,chase_random,1048576,8,23.529,21.754,24.428
P,2m,chase_random,2097152,8,49.412,45.707,51.459
P,2m,chase_random,4194304,8,182.090,174.353,189.456
P,2m,chase_random,8388608,8,286.884,273.271,295.296
P,2m,chase_random,16777216,8,343.869,335.951,348.226
P,2m,chase_random,33554432,8,375.258,362.716,381.050
P,2m,chase_random,67108864,8,382.261,371.163,391.629
P,2m,chase_random,134217728,8,400.740,397.430,406.291
P,2m,chase_random,268435456,8,406.066,404.921,411.347
P,2m,chase_random_double,4096,8,2.758,2.654,3.159
P,2m,chase_random_double,8192,8,2.801,2.686,3.429
P,2m,chase_random_double,16384,8,3.061,2.685,3.260
P,2m,chase_random_double,32768,8,2.877,2.685,3.116
P,2m,chase_random_double,65536,8,4.900,4.374,6.421
