core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
P,2m,independent_random_bis,2097152,1,10.430,10.430,10.430
P,2m,independent_random_bis,4194304,1,10.955,10.955,10.955
P,2m,independent_random_bis,8388608,1,14.533,14.533,14.533
P,2m,independent_random_bis,16777216,1,13.984,13.984,13.984
P,4k,chase_random,4096,1,3.504,3.504,3.504
P,4k,chase_random,8192,1,3.599,3.599,3.599
P,4k,chase_random,16384,1,2.901,2.901,2.901
P,4k,chase_random,32768,1,5.340,5.340,5.340
P,4k,chase_random,65536,1,6.248,6.248,6.248
P,4k,chase_random,131072,1,8.340,8.340,8.340
P,4k,chase_random,262144,1,12.101,12.101,12.101
P,4k,chase_random,524288,1,80.835,80.835,80.835
P,4k,chase_random,1048576,1,62.848,62.848,62.848
P,4k,chase_random,2097152,1,71.125,71.125,71.125
P,4k,chase_random,4194304,1,252.620,252.620,252.620
P,4k,chase_random,8388608,1,250.008,250.008,250.008
P,4k,chase_random,16777216,1,276.563,276.563,276.563
P,4k,chase_random_double,4096,1,3.533,3.533,3.533
P,4k,chase_random_double,8192,1,2.476,2.476,2.476
P,4k,chase_random_double,16384,1,3.034,3.034,3.034
P,4k,chase_random_double,32768,1,2.278,2.278,2.278
P,4k,chase_random_double,65536,1,4.529,4.529,4.529
P,4k,chase_random_double,131072,1,6.897,6.897,6.897
P,4k,chase_random_double,262144,1,20.318,20.318,20.318
P,4k,chase_random_double,524288,1,29.352,29.352,29.352
P,4k,chase_random_double,1048576,1,11.241,11.241,11.241
P,4k,chase_random_double,2097152,1,43.571,43.571,43.571
P,4k,chase_random_double,4194304,1,117.540,117.540,117.540
P,4k,chase_random_double,8388608,1,228.157,228.157,228.157
P,4k,chase_random_double,16777216,1,266.598,266.598,266.598
P,4k,chase_sequential,4096,1,2.742,2.742,2.742
P,4k,chase_sequential,8192,1,2.612,2.612,2.612
P,4k,chase_sequential,16384,1,2.939,2.939,2.939
P,4k,chase_sequential,32768,1,2.896,2.896,2.896
P,4k,chase_sequential,65536,1,2.867,2.867,2.867
P,4k,chase_sequential,131072,1,2.731,2.731,2.731
P,4k,chase_sequential,262144,1,3.765,3.765,3.765
P,4k,chase_sequential,524288,1,3.759,3.759,3.759
P,4k,chase_sequential,1048576,1,3.510,3.510,3.510
P,4k,chase_sequential,2097152,1,3.587,3.587,3.587
P,4k,chase_sequential,4194304,1,3.842,3.842,3.842
P,4k,chase_sequential,8388608,1,3.718,3.718,3.718
P,4k,chase_sequential,16777216,1,3.362,3.362,3.362
P,4k,independent_random,4096,1,1.317,1.317,1.317
P,4k,independent_random,8192,1,1.454,1.454,1.454
P,4k,independent_random,16384,1,1.506,1.506,1.506
P,4k,independent_random,32768,1,1.251,1.251,1.251
P,4k,independent_random,65536,1,1.830,1.830,1.830
P,4k,independent_random,131072,1,1.805,1.805,1.805
P,4k,independent_random,262144,1,2.116,2.116,2.116
P,4k,independent_random,524288,1,2.859,2.859,2.859
P,4k,independent_random,1048576,1,4.599,4.599,4.599
P,4k,independent_random,2097152,1,8.648,8.648,8.648
P,4k,independent_random,4194304,1,12.983,12.983,12.983
P,4k,independent_random,8388608,1,14.052,14.052,14.052
P,4k,independent_random,16777216,1,15.717,15.717,15.717
P,4k,independent_random_bis,4096,1,1.381,1.381,1.381
P,4k,independent_random_bis,8192,1,1.395,1.395,1.395
P,4k,independent_random_bis,16384,1,1.364,1.364,1.364
P,4k,independent_random_bis,32768,1,1.386,1.386,1.386
P,4k,independent_random_bis,65536,1,1.611,1.611,1.611
P,4k,independent_random_bis,131072,1,2.129,2.129,2.129
P,4k,independent_random_bis,262144,1,2.722,2.722,2.722
P,4k,independent_random_bis,524288,1,4.752,4.752,4.752
P,4k,independent_random_bis,1048576,1,9.423,9.423,9.423
P,4k,independent_random_bis,2097152,1,10.814,10.814,10.814
P,4k,independent_random_bis,4194304,1,12.045,12.045,12.045
P,4k,independent_random_bis,8388608,1,13.215,13.215,13.215
P,4k,independent_random_bis,16777216,1,14.947,14.947,14.947
