protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,83,27,measure,2,A,20000,1,94955,6,6,1715264859136036582
interleaved,interleaved,74,20260990,libre,22,0,10,84,28,measure,0,A_bis,20000,1,94966,6,6,17065705950291834867
interleaved,interleaved,74,20260990,libre,22,0,10,85,28,measure,1,A,20000,1,94985,6,6,2273259720826743135
interleaved,interleaved,74,20260990,libre,22,0,10,86,28,measure,2,B,20000,2,189930,6,6,16295218862095928442
interleaved,interleaved,74,20260990,libre,22,0,10,87,29,measure,0,B,20000,2,193383,6,6,1982520721843123769
interleaved,interleaved,74,20260990,libre,22,0,10,88,29,measure,1,A,20000,1,94970,6,6,4610999369321684322
interleaved,interleaved,74,20260990,libre,22,0,10,89,29,measure,2,A_bis,20000,1,95632,6,6,9098727777067032136
interleaved,interleaved,74,20260990,libre,22,0,10,90,30,measure,0,A_bis,20000,1,90221,6,6,11134134549721738030
interleaved,interleaved,74,20260990,libre,22,0,10,91,30,measure,1,B,20000,2,180420,6,6,12283443621207105310
interleaved,interleaved,74,20260990,libre,22,0,10,92,30,measure,2,A,20000,1,90214,6,6,1386286660230427433
interleaved,interleaved,74,20260990,libre,22,0,10,93,31,measure,0,A,20000,1,90218,6,6,17366610133558815832
interleaved,interleaved,74,20260990,libre,22,0,10,94,31,measure,1,B,20000,2,180437,6,6,14764962252491025521
interleaved,interleaved,74,20260990,libre,22,0,10,95,31,measure,2,A_bis,20000,1,96121,6,6,6362333762433135188
interleaved,interleaved,74,20260990,libre,22,0,10,96,32,measure,0,A,20000,1,94963,6,6,9591412223558357746
interleaved,interleaved,74,20260990,libre,22,0,10,97,32,measure,1,B,20000,2,189922,6,6,10888593812007531167
interleaved,interleaved,74,20260990,libre,22,0,10,98,32,measure,2,A_bis,20000,1,94975,6,6,8867958921860983595
interleaved,interleaved,74,20260990,libre,22,0,10,99,33,measure,0,A_bis,20000,1,94976,6,6,282671224060640046
interleaved,interleaved,74,20260990,libre,22,0,10,100,33,measure,1,B,20000,2,189925,6,6,339769208806247409
interleaved,interleaved,74,20260990,libre,22,0,10,101,33,measure,2,A,20000,1,94953,6,6,5811647738289746537
interleaved,interleaved,74,20260990,libre,22,0,10,102,34,measure,0,A,20000,1,94961,6,6,13836842560013848095
interleaved,interleaved,74,20260990,libre,22,0,10,103,34,measure,1,B,20000,2,193468,6,6,5146793660055950017
interleaved,interleaved,74,20260990,libre,22,0,10,104,34,measure,2,A_bis,20000,1,94964,6,6,16318913491114258526
interleaved,interleaved,74,20260990,libre,22,0,10,105,35,measure,0,A,20000,1,94957,6,6,2714232153999082472
interleaved,interleaved,74,20260990,libre,22,0,10,106,35,measure,1,B,20000,2,189925,6,6,3719534032042410602
