run_id,core,seed,sample,round,phase,position,label,param,ops,units_per_op,elapsed_ns,deferred_ns,result,expected,resident_before,resident_after,file_pages,read_syscalls,write_syscalls,read_bytes,write_bytes,cancelled_write_bytes,device_reads,device_read_sectors,device_writes,device_write_sectors,device_flushes,journal_commits,deferred_device_writes,deferred_device_write_sectors,deferred_device_flushes,deferred_journal_commits,voluntary_switches,involuntary_switches,cpu_before,cpu_after
10,P,20260921,61,2,measure,15,rand_read_warm,0,256,1,357910,0,256,256,65536,65536,65536,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,62,2,measure,16,rand_read_direct_double,0,256,2,28289381,0,512,512,65536,65536,65536,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
10,P,20260921,63,2,measure,17,append_fsync,256,1,256,8129075,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,32,0,11,11
10,P,20260921,64,2,measure,18,append_buffered,0,256,1,1429573,7177018,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
10,P,20260921,65,2,measure,19,overwrite_odsync,1,256,1,476320205,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,0,11,11
10,P,20260921,66,2,measure,20,seq_read_cold,0,2048,32,103654208,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,201,2,11,11
10,P,20260921,67,2,measure,21,rand_read_cold,0,256,1,14928934,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,68,2,measure,22,append_fsync,1,256,1,1742805647,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,768,14976,256,256,0,0,0,0,512,0,11,11
10,P,20260921,69,3,measure,0,append_fsync,1,256,1,1807356265,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,768,15064,256,256,0,0,0,0,512,0,11,11
10,P,20260921,70,3,measure,1,rand_read_cold,0,256,1,15111625,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,71,3,measure,2,overwrite_odsync_folio,1,256,1,514985572,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
10,P,20260921,72,3,measure,3,overwrite_fdatasync,1,256,1,511813010,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,530,2440,262,3,0,0,0,0,512,0,11,11
10,P,20260921,73,3,measure,4,rand_read_warm,0,256,1,435396,0,256,256,65536,65536,65536,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,74,3,measure,5,rand_read_direct,0,256,1,13964147,0,256,256,65536,65536,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,75,3,measure,6,append_fsync,256,1,256,8117775,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,10,2088,1,1,0,0,0,0,18,0,11,11
10,P,20260921,76,3,measure,7,seq_read_warm,0,2048,32,45961263,0,65536,65536,65536,65536,65536,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11
10,P,20260921,77,3,measure,8,append_fdatasync,1,256,1,1880525707,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,795,16160,266,266,0,0,0,0,522,0,11,11
10,P,20260921,78,3,measure,9,overwrite_fdatasync_bis,1,256,1,512960486,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,3,11,11
10,P,20260921,79,3,measure,10,tmpfs_append_fsync,1,256,1,596136,0,256,256,0,0,65536,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,80,3,measure,11,seq_read_direct,0,2048,32,184705849,0,65536,65536,65536,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,2047,0,11,11
10,P,20260921,81,3,measure,12,overwrite_fsync,1,256,1,1770412390,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,805,12040,256,256,0,0,0,0,511,1,11,11
10,P,20260921,82,3,measure,13,rand_read_cold_bis,0,256,1,15238140,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,83,3,measure,14,append_fsync,64,4,64,30750956,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,16,2208,4,4,0,0,0,0,8,0,11,11
10,P,20260921,84,3,measure,15,overwrite_fdatasync_double,1,256,2,1003335871,0,512,512,0,0,65536,2,512,0,2097152,0,0,0,1027,4304,513,1,0,0,0,0,1022,1,11,11
10,P,20260921,85,3,measure,16,overwrite_odsync,1,256,1,524697477,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
10,P,20260921,86,3,measure,17,append_fsync,4,64,4,451482124,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,192,5240,64,64,0,0,0,0,128,0,11,11
10,P,20260921,87,3,measure,18,seq_read_cold,0,2048,32,100503647,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,204,4,11,11
10,P,20260921,88,3,measure,19,append_buffered,0,256,1,1085244,7137898,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
10,P,20260921,89,3,measure,20,append_fsync,16,16,16,118219362,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,48,2840,16,16,0,0,0,0,32,0,11,11
10,P,20260921,90,3,measure,21,rand_read_direct_double,0,256,2,28188809,0,512,512,65536,65536,65536,514,0,2097152,0,0,512,4096,0,0,0,0,0,0,0,0,512,0,11,11
10,P,20260921,91,3,measure,22,overwrite_fdatasync_folio,1,256,1,550529710,0,256,256,0,0,65536,2,256,0,268435456,0,0,0,512,2048,256,0,0,0,0,0,512,1,11,11
10,P,20260921,92,4,measure,0,overwrite_fsync,1,256,1,1795300450,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,768,8480,256,256,0,0,0,0,512,0,11,11
10,P,20260921,93,4,measure,1,seq_read_warm,0,2048,32,52350712,0,65536,65536,65536,65536,65536,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11
10,P,20260921,94,4,measure,2,rand_read_cold_bis,0,256,1,16458390,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,95,4,measure,3,append_fsync,1,256,1,1815967881,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,1092,38352,257,257,0,0,0,0,513,1,11,11
10,P,20260921,96,4,measure,4,append_fsync,256,1,256,8294953,0,256,256,0,0,65536,2,256,4096,1048576,0,1,8,10,2088,1,1,0,0,0,0,3,0,11,11
10,P,20260921,97,4,measure,5,overwrite_fdatasync_double,1,256,2,1089816395,0,512,512,0,0,65536,2,512,0,2097152,0,0,0,1043,4384,517,3,0,0,0,0,1024,9,11,11
10,P,20260921,98,4,measure,6,tmpfs_append_fsync,1,256,1,578105,0,256,256,0,0,65536,2,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
10,P,20260921,99,4,measure,7,append_fsync,16,16,16,115330435,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,48,2840,16,16,0,0,0,0,32,0,11,11
10,P,20260921,100,4,measure,8,overwrite_fdatasync_bis,1,256,1,551062042,0,256,256,0,0,65536,2,256,0,1048576,0,0,0,512,2048,256,0,0,0,0,0,512,2,11,11
10,P,20260921,101,4,measure,9,rand_read_cold,0,256,1,15167593,0,256,256,0,256,65536,258,0,1048576,0,0,256,2048,0,0,0,0,0,0,0,0,256,0,11,11
10,P,20260921,102,4,measure,10,seq_read_cold,0,2048,32,99106129,0,65536,65536,0,65536,65536,2050,0,268435456,0,0,2048,524288,0,0,0,0,0,0,0,0,194,3,11,11
10,P,20260921,103,4,measure,11,append_buffered,0,256,1,973934,7292126,256,256,0,0,65536,2,256,0,1048576,0,0,0,0,0,0,0,10,2088,1,1,0,0,11,11
